category	type	size	addr	mangled	demangled	obj
STRONG_T	T	0x5	0x825ba2f	_ZN19CMonitorServerProxy14SendTcpPacketEPci	_ZN19CMonitorServerProxy14SendTcpPacketEPci	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/GameStubs.cpp.o
STRONG_T	T	0xd8	0x8206534	_ZN19CerashopAddRestrict12ScriptLoader15LoadScriptDailyENS_12RestrictTypeE	CerashopAddRestrict::ScriptLoader::LoadScriptDaily(CerashopAddRestrict::RestrictType)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CCeraShopAddRestrict.cpp.o
STRONG_T	T	0xa	0x825abb4	_ZN19CerashopAddRestrict18loadRDARScriptFileEPKcS1_	CerashopAddRestrict::loadRDARScriptFile(char const*, char const*)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/GameStubs.cpp.o
STRONG_T	T	0x5	0x825abd2	_ZN19CerashopAddRestrict42DB_LoadCerashopAddRestrictType_makeRequestEP5CUser	CerashopAddRestrict::DB_LoadCerashopAddRestrictType_makeRequest(CUser*)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/GameStubs.cpp.o
STRONG_T	T	0x5	0x825abd7	_ZN19CerashopAddRestrict42DB_SaveCerashopAddRestrictType_makeRequestEP5CUserPNS_11DBInputDataE	CerashopAddRestrict::DB_SaveCerashopAddRestrictType_makeRequest(CUser*, CerashopAddRestrict::DBInputData*)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/GameStubs.cpp.o
STRONG_T	T	0xa	0x825abc8	_ZN19CerashopAddRestrict7ScanIntERb	CerashopAddRestrict::ScanInt(bool&)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/GameStubs.cpp.o
STRONG_T	T	0xa	0x80ab5ca	_ZN19Dispatcher_Teleport11check_errorEP5CUserR8MSG_BASE	Dispatcher_Teleport::check_error(CUser*, MSG_BASE&)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/Dispatchers.cpp.o
STRONG_T	T	0x14	0x80d9d70	_ZN19TimerUpdatePvPGrade15registNextTimerEx	TimerUpdatePvPGrade::registNextTimer(long long)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/GlobalData.cpp.o
STRONG_T	T	0xa	0x80ab80a	_ZN20Dispatcher_SkillInit18process_skill_initEv	Dispatcher_SkillInit::process_skill_init()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/Dispatchers.cpp.o
STRONG_T	T	0x5	0x813f22c	_ZN20UserMercenaryInfoMgr9AddCharacERK21CHARAC_LOAD_MERCENARY	UserMercenaryInfoMgr::AddCharac(CHARAC_LOAD_MERCENARY const&)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CUser.cpp.o
STRONG_T	T	0x5	0x813f238	_ZN20UserMercenaryInfoMgr9SetCharacEjRK21CHARAC_LOAD_MERCENARY	UserMercenaryInfoMgr::SetCharac(unsigned int, CHARAC_LOAD_MERCENARY const&)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CUser.cpp.o
STRONG_T	T	0x5	0x825a148	_ZN21CChattingEmoticonList6ReCalcEPvPK5CUser	CChattingEmoticonList::ReCalc(void*, CUser const*)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/GameStubs.cpp.o
STRONG_T	T	0x20	0x8204d04	_ZN21CDispatchServerPacket18dispatchPointPacketEPc	_ZN21CDispatchServerPacket18dispatchPointPacketEPc	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CAuction.cpp.o
STRONG_T	T	0xa	0x8256d9e	_ZN21CSecu_ProtectionField5CheckEPS_P5CUser18SECURITY_PROTCTION	CSecu_ProtectionField::Check(CSecu_ProtectionField*, CUser*, SECURITY_PROTCTION)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CSecu_ProtectionField.cpp.o
STRONG_T	T	0xa	0x80abb3c	_ZN21Dispatcher_ComboSkill20checkComboSkillIndexEv	Dispatcher_ComboSkill::checkComboSkillIndex()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/Dispatchers.cpp.o
STRONG_T	T	0xa	0x80abc5c	_ZN21Dispatcher_GuildCargo11check_errorEP5CUserR8MSG_BASE	Dispatcher_GuildCargo::check_error(CUser*, MSG_BASE&)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/Dispatchers.cpp.o
STRONG_T	T	0xa	0x80abe82	_ZN21Dispatcher_PurifyItem17processPurifyTypeEv	Dispatcher_PurifyItem::processPurifyType()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/Dispatchers.cpp.o
STRONG_T	T	0x1a	0x823c16a	_ZN21ServerParameterScript10LoadScriptEPKc	ServerParameterScript::LoadScript(char const*)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/ServerParameterScript.cpp.o
STRONG_T	T	0xb2	0x823c7ac	_ZN21ServerParameterScript18GetTraningSealGiveEi	ServerParameterScript::GetTraningSealGive(int)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/ServerParameterScript.cpp.o
STRONG_T	T	0x1b	0x823c85e	_ZN21ServerParameterScript21CheckTraningFirstGiveEv	ServerParameterScript::CheckTraningFirstGive()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/ServerParameterScript.cpp.o
STRONG_T	T	0xb2	0x823c448	_ZN21ServerParameterScript25GetPvPChannelGradePenaltyEi	ServerParameterScript::GetPvPChannelGradePenalty(int)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/ServerParameterScript.cpp.o
STRONG_T	T	0x62	0x823c108	_ZN21ServerParameterScript25getLuckPointDeductionRateEiRi	ServerParameterScript::getLuckPointDeductionRate(int, int&)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/ServerParameterScript.cpp.o
STRONG_T	T	0x84	0x823c4fa	_ZN21ServerParameterScript26CheckUnusableEquipmentInfoEii	ServerParameterScript::CheckUnusableEquipmentInfo(int, int)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/ServerParameterScript.cpp.o
STRONG_T	T	0xa	0x80ac2c8	_ZN22Dispatcher_EPLPCommand14_SendEPLPErrorEv	Dispatcher_EPLPCommand::_SendEPLPError()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/Dispatchers.cpp.o
STRONG_T	T	0xa	0x80ac2be	_ZN22Dispatcher_EPLPCommand16_BroadCastPacketEv	Dispatcher_EPLPCommand::_BroadCastPacket()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/Dispatchers.cpp.o
STRONG_T	T	0xa	0x80ac2dc	_ZN22Dispatcher_EPLPCommand16excludeEplpStateEv	Dispatcher_EPLPCommand::excludeEplpState()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/Dispatchers.cpp.o
STRONG_T	T	0xa	0x80ac2e6	_ZN22Dispatcher_EPLPCommand17isReTurnToVillageEv	Dispatcher_EPLPCommand::isReTurnToVillage()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/Dispatchers.cpp.o
STRONG_T	T	0xa	0x80ac36e	_ZN22Dispatcher_ModItemAttr11_SendResultEv	Dispatcher_ModItemAttr::_SendResult()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/Dispatchers.cpp.o
STRONG_T	T	0xb3	0x82071ea	_ZN23CCeraShopBonusItemEvent10StartEventEt	CCeraShopBonusItemEvent::StartEvent(unsigned short)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CCeraShopAddRestrict.cpp.o
STRONG_T	T	0xd	0x82072f0	_ZN23CCeraShopBonusItemEvent12getBonusRateEv	CCeraShopBonusItemEvent::getBonusRate()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CCeraShopAddRestrict.cpp.o
STRONG_T	T	0xa	0x80ac732	_ZN23Dispatcher_BossDieCheck11check_errorEP5CUserR8MSG_BASE	Dispatcher_BossDieCheck::check_error(CUser*, MSG_BASE&)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/Dispatchers.cpp.o
STRONG_T	T	0xa	0x80ac848	_ZN23Dispatcher_CollectItems11check_errorEP5CUserR8MSG_BASE	Dispatcher_CollectItems::check_error(CUser*, MSG_BASE&)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/Dispatchers.cpp.o
STRONG_T	T	0xa	0x80acc9a	_ZN23Dispatcher_MailBox_Send14GuildMailCheckEv	Dispatcher_MailBox_Send::GuildMailCheck()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/Dispatchers.cpp.o
STRONG_T	T	0xa	0x80acfda	_ZN23Dispatcher_SoloTeleport11check_errorEP5CUserR8MSG_BASE	Dispatcher_SoloTeleport::check_error(CUser*, MSG_BASE&)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/Dispatchers.cpp.o
STRONG_T	T	0xa	0x80ad1ec	_ZN23Dispatcher_UseLimitCube11check_errorEP5CUserR8MSG_BASE	Dispatcher_UseLimitCube::check_error(CUser*, MSG_BASE&)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/Dispatchers.cpp.o
STRONG_T	T	0xa	0x825b4bd	_ZN23ServerParameterScript12isDungeonOpenEv	_ZN23ServerParameterScript12isDungeonOpenEv	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/GameStubs.cpp.o
STRONG_T	T	0xa	0x825ba39	_ZN23ServerParameterScript20GetPaneltyDupMessageEv	_ZN23ServerParameterScript20GetPaneltyDupMessageEv	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/GameStubs.cpp.o
STRONG_T	T	0xa	0x825ba43	_ZN23ServerParameterScript21GetCleanChattingCountEi	_ZN23ServerParameterScript21GetCleanChattingCountEi	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/GameStubs.cpp.o
STRONG_T	T	0xa	0x825ba4d	_ZN23ServerParameterScript25GetMaxCleanChattingCountEv	_ZN23ServerParameterScript25GetMaxCleanChattingCountEv	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/GameStubs.cpp.o
STRONG_T	T	0xa	0x80ad394	_ZN24Dispatcher_ChangeEmotion19isVaildEmotionValueEv	Dispatcher_ChangeEmotion::isVaildEmotionValue()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/Dispatchers.cpp.o
STRONG_T	T	0xa	0x80ad5b6	_ZN24Dispatcher_EnchantByBead11check_errorEP5CUserR8MSG_BASE	Dispatcher_EnchantByBead::check_error(CUser*, MSG_BASE&)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/Dispatchers.cpp.o
STRONG_T	T	0xa	0x80ad8f2	_ZN24Dispatcher_MouseRegister15decryptPasswordEv	Dispatcher_MouseRegister::decryptPassword()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/Dispatchers.cpp.o
STRONG_T	T	0xa	0x80ad906	_ZN24Dispatcher_MouseRegister15doPassPadReplayEv	Dispatcher_MouseRegister::doPassPadReplay()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/Dispatchers.cpp.o
STRONG_T	T	0xa	0x80ad8de	_ZN24Dispatcher_MouseRegister19checkValiedPasswordEv	Dispatcher_MouseRegister::checkValiedPassword()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/Dispatchers.cpp.o
STRONG_T	T	0x2d	0x82073a0	_ZN25CEventCeraShopRewardPoint10StartEventEj	CEventCeraShopRewardPoint::StartEvent(unsigned int)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CCeraShopAddRestrict.cpp.o
STRONG_T	T	0xa	0x80adffc	_ZN25Dispatcher_CompoundEmblem20SendCreateEmblemInfoEv	Dispatcher_CompoundEmblem::SendCreateEmblemInfo()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/Dispatchers.cpp.o
STRONG_T	T	0xa	0x80ae08e	_ZN25Dispatcher_DisJointAvatar20SendCreateEmblemInfoEv	Dispatcher_DisJointAvatar::SendCreateEmblemInfo()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/Dispatchers.cpp.o
STRONG_T	T	0xa	0x80ae098	_ZN25Dispatcher_DisJointAvatar22SendDisjointAvatarInfoEv	Dispatcher_DisJointAvatar::SendDisjointAvatarInfo()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/Dispatchers.cpp.o
STRONG_T	T	0xa	0x80ae466	_ZN25Dispatcher_PcRoomRentItem18giveDimensionItemsEv	Dispatcher_PcRoomRentItem::giveDimensionItems()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/Dispatchers.cpp.o
STRONG_T	T	0xa	0x80ae6c4	_ZN25Dispatcher_UseBoosterItem18sendBroadCastItemsEv	Dispatcher_UseBoosterItem::sendBroadCastItems()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/Dispatchers.cpp.o
STRONG_T	T	0xa	0x80ae692	_ZN25Dispatcher_UseBoosterItem23_onBoosterItemUseResultEv	Dispatcher_UseBoosterItem::_onBoosterItemUseResult()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/Dispatchers.cpp.o
STRONG_T	T	0xa	0x80ae69c	_ZN25Dispatcher_UseBoosterItem31_onBoosterItemUseResult_OnlyOneEv	Dispatcher_UseBoosterItem::_onBoosterItemUseResult_OnlyOne()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/Dispatchers.cpp.o
STRONG_T	T	0x5	0x825b949	_ZN25InterSelectPcroomDailyReward10SendPacketEP5CUser	_ZN25InterSelectPcroomDailyReward10SendPacketEP5CUser	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/GameStubs.cpp.o
STRONG_T	T	0xa	0x80ae7d4	_ZN26Dispatcher_BuyCeraShopItem33useCountDownCoinInFreeCoinDungeonEv	Dispatcher_BuyCeraShopItem::useCountDownCoinInFreeCoinDungeon()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/Dispatchers.cpp.o
STRONG_T	T	0xa	0x80ae866	_ZN26Dispatcher_CallGuildInvite24send_packet_guild_inviteEv	Dispatcher_CallGuildInvite::send_packet_guild_invite()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/Dispatchers.cpp.o
STRONG_T	T	0xa	0x80aefba	_ZN26Dispatcher_MonstercardBind13_bind_processEv	Dispatcher_MonstercardBind::_bind_process()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/Dispatchers.cpp.o
STRONG_T	T	0xa	0x80aefd8	_ZN26Dispatcher_MonstercardBind15check_need_slotEv	Dispatcher_MonstercardBind::check_need_slot()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/Dispatchers.cpp.o
STRONG_T	T	0xa	0x80aefe2	_ZN26Dispatcher_MonstercardBind15get_bind_resultEv	Dispatcher_MonstercardBind::get_bind_result()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/Dispatchers.cpp.o
STRONG_T	T	0xa	0x80aefc4	_ZN26Dispatcher_MonstercardBind16calcurate_rarityEv	Dispatcher_MonstercardBind::calcurate_rarity()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/Dispatchers.cpp.o
STRONG_T	T	0xa	0x825b490	_ZN27CHackLog_InvalidAreaMove11GetHackTypeEv	_ZN27CHackLog_InvalidAreaMove11GetHackTypeEv	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/GameStubs.cpp.o
STRONG_T	T	0xa	0x825b486	_ZN27CHackLog_InvalidAreaMove15isMovableRouteEiiiiii	_ZN27CHackLog_InvalidAreaMove15isMovableRouteEiiiiii	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/GameStubs.cpp.o
STRONG_T	T	0xa	0x825b47c	_ZN27CHackLog_InvalidAreaMove21IsInvalidMovableAreaEiiii	_ZN27CHackLog_InvalidAreaMove21IsInvalidMovableAreaEiiii	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/GameStubs.cpp.o
STRONG_T	T	0xa	0x80af5ca	_ZN27Dispatcher_CallGuildLevelUp25send_packet_guild_levelupEv	Dispatcher_CallGuildLevelUp::send_packet_guild_levelup()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/Dispatchers.cpp.o
STRONG_T	T	0xa	0x80b07c0	_ZN28Dispatcher_GuildCargoHistory11check_errorEP5CUserR8MSG_BASE	Dispatcher_GuildCargoHistory::check_error(CUser*, MSG_BASE&)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/Dispatchers.cpp.o
STRONG_T	T	0xa	0x80b084e	_ZN28Dispatcher_GuildCargoPopItem11check_errorEP5CUserR8MSG_BASE	Dispatcher_GuildCargoPopItem::check_error(CUser*, MSG_BASE&)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/Dispatchers.cpp.o
STRONG_T	T	0xa	0x80b0afc	_ZN28Dispatcher_SecretShopBuyItem11check_errorEP5CUserR8MSG_BASE	Dispatcher_SecretShopBuyItem::check_error(CUser*, MSG_BASE&)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/Dispatchers.cpp.o
STRONG_T	T	0xa	0x80b0fc6	_ZN29Dispatcher_Cancel_Quick_Party11check_errorEP5CUserR8MSG_BASE	Dispatcher_Cancel_Quick_Party::check_error(CUser*, MSG_BASE&)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/Dispatchers.cpp.o
STRONG_T	T	0xa	0x80b126a	_ZN29Dispatcher_CloseDisjointStore11check_errorEP5CUserR8MSG_BASE	Dispatcher_CloseDisjointStore::check_error(CUser*, MSG_BASE&)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/Dispatchers.cpp.o
STRONG_T	T	0xa	0x80b12f8	_ZN29Dispatcher_CompatibilityIndex11check_errorEP5CUserR8MSG_BASE	Dispatcher_CompatibilityIndex::check_error(CUser*, MSG_BASE&)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/Dispatchers.cpp.o
STRONG_T	T	0xa	0x80b1518	_ZN29Dispatcher_EnterDisjointStore11check_errorEP5CUserR8MSG_BASE	Dispatcher_EnterDisjointStore::check_error(CUser*, MSG_BASE&)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/Dispatchers.cpp.o
STRONG_T	T	0xa	0x80b162e	_ZN29Dispatcher_GuildCargoMoveItem11check_errorEP5CUserR8MSG_BASE	Dispatcher_GuildCargoMoveItem::check_error(CUser*, MSG_BASE&)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/Dispatchers.cpp.o
STRONG_T	T	0xa	0x80b16bc	_ZN29Dispatcher_GuildCargoPushItem11check_errorEP5CUserR8MSG_BASE	Dispatcher_GuildCargoPushItem::check_error(CUser*, MSG_BASE&)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/Dispatchers.cpp.o
STRONG_T	T	0xa	0x80b1970	_ZN29Dispatcher_Request_Seria_Buff11check_errorEP5CUserR8MSG_BASE	Dispatcher_Request_Seria_Buff::check_error(CUser*, MSG_BASE&)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/Dispatchers.cpp.o
STRONG_T	T	0xa	0x80b1c1a	_ZN29Dispatcher_UnsealRandomOption25_check_unseal_scroll_itemEv	Dispatcher_UnsealRandomOption::_check_unseal_scroll_item()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/Dispatchers.cpp.o
STRONG_T	T	0xa	0x80b1cb6	_ZN29Dispatcher_ValidateScriptHash13get_hack_typeEv	Dispatcher_ValidateScriptHash::get_hack_type()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/Dispatchers.cpp.o
STRONG_T	T	0xa	0x80b1f5e	_ZN30Dispatcher_CreateDisjointStore11check_errorEP5CUserR8MSG_BASE	Dispatcher_CreateDisjointStore::check_error(CUser*, MSG_BASE&)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/Dispatchers.cpp.o
STRONG_T	T	0xa	0x80b220c	_ZN30Dispatcher_New_Gmdebug_Command12oldGmRoutineEv	Dispatcher_New_Gmdebug_Command::oldGmRoutine()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/Dispatchers.cpp.o
STRONG_T	T	0xa	0x80b24b6	_ZN30Dispatcher_RequestDisjointItem11check_errorEP5CUserR8MSG_BASE	Dispatcher_RequestDisjointItem::check_error(CUser*, MSG_BASE&)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/Dispatchers.cpp.o
STRONG_T	T	0xa	0x80b2654	_ZN30Dispatcher_SecretShopOpenClose11check_errorEP5CUserR8MSG_BASE	Dispatcher_SecretShopOpenClose::check_error(CUser*, MSG_BASE&)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/Dispatchers.cpp.o
STRONG_T	T	0xa	0x80b2dea	_ZN31Dispatcher_CallGuildCreateRight28send_packet_guildcreaterightEv	Dispatcher_CallGuildCreateRight::send_packet_guildcreateright()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/Dispatchers.cpp.o
STRONG_T	T	0xa	0x80b2f6e	_ZN31Dispatcher_Compound_ExtreamItem12_read_packetEv	Dispatcher_Compound_ExtreamItem::_read_packet()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/Dispatchers.cpp.o
STRONG_T	T	0xa	0x80b3356	_ZN31Dispatcher_PrecheckSoloTeleport11check_errorEP5CUserR8MSG_BASE	Dispatcher_PrecheckSoloTeleport::check_error(CUser*, MSG_BASE&)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/Dispatchers.cpp.o
STRONG_T	T	0xa	0x80b3462	_ZN31Dispatcher_Register_Quick_Party11check_errorEP5CUserR8MSG_BASE	Dispatcher_Register_Quick_Party::check_error(CUser*, MSG_BASE&)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/Dispatchers.cpp.o
STRONG_T	T	0xa	0x80b3a4e	_ZN32Dispatcher_RepairDisjointMachine11check_errorEP5CUserR8MSG_BASE	Dispatcher_RepairDisjointMachine::check_error(CUser*, MSG_BASE&)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/Dispatchers.cpp.o
STRONG_T	T	0xa	0x80b43ea	_ZN33Dispatcher_UpgradeDisjointMachine11check_errorEP5CUserR8MSG_BASE	Dispatcher_UpgradeDisjointMachine::check_error(CUser*, MSG_BASE&)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/Dispatchers.cpp.o
STRONG_T	T	0xa	0x80b4ade	_ZN35Dispatcher_Enchant_3rdChronicleItem11check_stateEv	Dispatcher_Enchant_3rdChronicleItem::check_state()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/Dispatchers.cpp.o
STRONG_T	T	0xa	0x80b4fb8	_ZN35Dispatcher_Select_Item_Grwoth_Power11check_errorEP5CUserR8MSG_BASE	Dispatcher_Select_Item_Grwoth_Power::check_error(CUser*, MSG_BASE&)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/Dispatchers.cpp.o
STRONG_T	T	0xa	0x80b55ca	_ZN37Dispatcher_RequestIngameAdvertisement24sendRewardItemSystemMailEv	Dispatcher_RequestIngameAdvertisement::sendRewardItemSystemMail()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/Dispatchers.cpp.o
STRONG_T	T	0xa	0x80b56cc	_ZN38Dispatcher_Direct_Entrance_Quick_Party11check_errorEP5CUserR8MSG_BASE	Dispatcher_Direct_Entrance_Quick_Party::check_error(CUser*, MSG_BASE&)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/Dispatchers.cpp.o
STRONG_T	T	0x1c	0x8050236	_ZN3nsl10RecvBuffer10AdjustRearEi	nsl::RecvBuffer::AdjustRear(int)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/ServerLab/ServerLib/basic_source/RecvBuffer.cpp.o
STRONG_T	T	0x16b	0x804fba6	_ZN3nsl10RecvBuffer13AvailableSizeEv	nsl::RecvBuffer::AvailableSize()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/ServerLab/ServerLib/basic_source/RecvBuffer.cpp.o
STRONG_T	T	0x1c5	0x805005c	_ZN3nsl10RecvBuffer13ClearUsedMsgsEv	nsl::RecvBuffer::ClearUsedMsgs()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/ServerLab/ServerLib/basic_source/RecvBuffer.cpp.o
STRONG_T	T	0x349	0x804fd12	_ZN3nsl10RecvBuffer5ParseEPNS_7TCPUserE	nsl::RecvBuffer::Parse(nsl::TCPUser*)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/ServerLab/ServerLib/basic_source/RecvBuffer.cpp.o
STRONG_T	T	0x42	0x804fb64	_ZN3nsl10RecvBuffer6IsFullEv	nsl::RecvBuffer::IsFull()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/ServerLab/ServerLib/basic_source/RecvBuffer.cpp.o
STRONG_T	T	0x13	0x8050252	_ZN3nsl10RecvBuffer7GetRearEv	nsl::RecvBuffer::GetRear()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/ServerLab/ServerLib/basic_source/RecvBuffer.cpp.o
STRONG_T	T	0x21	0x804fb42	_ZN3nsl10RecvBuffer7IsEmptyEv	nsl::RecvBuffer::IsEmpty()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/ServerLab/ServerLib/basic_source/RecvBuffer.cpp.o
STRONG_T	T	0x13	0x8050222	_ZN3nsl10RecvBuffer8GetFrontEv	nsl::RecvBuffer::GetFront()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/ServerLab/ServerLib/basic_source/RecvBuffer.cpp.o
STRONG_T	T	0xc7	0x804fa4e	_ZN3nsl10RecvBufferC1Eii	nsl::RecvBuffer::RecvBuffer(int, int)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/ServerLab/ServerLib/basic_source/RecvBuffer.cpp.o
STRONG_T	T	0xc7	0x804fa4e	_ZN3nsl10RecvBufferC2Eii	nsl::RecvBuffer::RecvBuffer(int, int)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/ServerLab/ServerLib/basic_source/RecvBuffer.cpp.o
